,Complexity,Real_Fake,Political,TextUppercase,TextLowercase,Original_text,Text,len_values,period_ratio,question_ratio,exclamation_ratio,ellipses_ratio,lex_prediction1,confidence1,lex_prediction2,confidence2,Complexity_Combination,Complexity_Simple,Real_Fake_DeepFake,Real_Fake_Fake,Real_Fake_Real,lex_prediction1_Negative,lex_prediction1_Neutral,lex_prediction1_Positive,lex_prediction2_anger,lex_prediction2_fear,lex_prediction2_joy,lex_prediction2_love,lex_prediction2_sadness,lex_prediction2_surprise,bert_s1,bert_s2,bert_s1_Negative,bert_s1_Positive,bert_s2_Joy,bert_s2_Sadness,bert_s2_Surprise,Sentiment1,Sentiment2
10,['Combination'],['Real'],0,0,0,"Amator ,,Banii sau viața!"" 
Profesionist ,,Semnează aici pentru încheierea acordului de vasalitate""","Amateur ""Money or life!"" 
Professional ""Sign here to conclude the vassalage agreement""",0.4090909090909091,0.0,0.0,1.0,0.0,['Positive'],1.0,['love'],0.3333333333333333,1,0,0,0,1,0,0,1,0,0,0,1,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,4
11,['Simple'],['Fake'],1,0,0,Aicea merge niște porumb,There goes some corn,0.09090909090909091,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,['Negative'],['Sadness'],1,0,0,1,0,2,5
12,['Simple'],['Fake'],1,0,0,"UBB: -Ai plagiat 
Politician român","UBB: -You plagiarized 
Romanian politician",0.1590909090909091,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,1
13,['Simple'],['DeepFake'],0,1,0,"LIDL 
RONALDO 
7","LIDL 
RONALDO 
7",0.11363636363636363,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,0,5
14,['Simple'],['Real'],0,0,0,După atâția ani de matematica am găsit radacina pătrată,After so many years of math I found the square root,0.25,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,1,2
15,['Simple'],['Real'],1,1,0,LE-AM SPUS APOI CA NU VOM MAI EXTINDE SCHENGEN PANA NU SECURIZAM GRANITELE,THEN I TOLD THEM THAT WE WILL NOT EXTEND SCHENGEN UNTIL WE SECURE THE BORDERS,0.3409090909090909,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,0
16,['Simple'],['Fake'],1,0,0,Așteptând să vină apa caldă,Waiting for the hot water to come on,0.18181818181818182,0.0,0.0,0.0,0.0,['Neutral'],1.0,['anger'],1.0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,4
17,['Combination'],['Real'],0,0,0,"Big Mac 
Sarma","Big Mac 
Wire",0.09090909090909091,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Joy'],1,0,1,0,0,1,2
18,['Simple'],['Fake'],1,0,0,"69 
”Greu de ucis”","69 
""Hard to Kill""",0.1590909090909091,0.0,0.0,0.0,0.0,['Neutral'],1.0,"['fear', 'sadness']",0.5,0,1,0,1,0,0,1,0,0,1,0,0,1,0,['Negative'],['Surprise'],1,0,0,0,1,0,1
19,['Simple'],['Real'],0,1,0,CINE NU IUBESTE SIMPLITATEA DE LA APPLE?,WHO DOESN'T LOVE SIMPLICITY FROM APPLE?,0.1590909090909091,0.0,1.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,0
20,['Simple'],['Real'],0,0,0,Pentru cine a zis ca matematica nu e folositoare,For those who said that mathematics is not useful,0.20454545454545456,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,0,2
21,['Simple'],['Real'],0,1,0,"SĂ VEZI CE O SĂ SE BUCURE ȘEFU' 
CĂ AM AJUNS PRIMII LA LOCUL ACCIDENTULUI","SEE WHAT THE BOSS WILL ENJOY 
THAT WE ARRIVED FIRST AT THE SCENE OF THE ACCIDENT",0.38636363636363635,0.0,0.0,0.0,0.0,['Neutral'],1.0,"['fear', 'joy', 'love', 'sadness', 'surprise']",0.2,0,1,0,0,1,0,1,0,0,1,1,1,1,1,['Negative'],['Surprise'],1,0,0,0,1,2,0
22,['Combination'],['Fake'],1,0,0,"Știi să furi? 
Da 
Ești angajat! 
Guvernu României","Do you know how to steal? 
Yes 
You are hired! 
Government of Romania",0.4090909090909091,0.0,0.5,0.5,0.0,['Neutral'],1.0,"['anger', 'fear', 'joy', 'love', 'sadness']",0.2,1,0,0,1,0,0,1,0,1,1,1,1,1,0,['Negative'],['Surprise'],1,0,0,0,1,2,0
23,['Simple'],['Real'],0,0,0,"Maestre, da-mi un sfat bun pentru zilele noastre 
Oriunde te-ai duce, 
nu uita incarcatorul","Master, give me good advice for our day 
wherever you go 
don't forget the charger",0.4318181818181818,0.0,0.0,0.0,0.0,['Positive'],0.6666666666666666,['love'],0.42857142857142855,0,1,0,0,1,0,0,1,0,0,0,1,0,0,['Negative'],['Surprise'],1,0,0,0,1,1,5
24,['Simple'],['Real'],0,1,0,AI TĂI DUPĂ CE TE ÎNTORCI LA ȘCOLALĂ,YOURS AFTER YOU GO BACK TO SCHOOL,0.1590909090909091,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,1,2
25,['Simple'],['Real'],0,0,0,"Intervievatorul: Ai vreo experiență în rol de conducere? 
Eu: Păi, sunt adminul unui grup de Whatsapp.","Interviewer: Do you have any experience in a leadership role? 
Me: Well, I am the admin of a Whatsapp group.",0.5909090909090909,0.5,0.5,0.0,0.0,['Neutral'],1.0,['fear'],1.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,['Negative'],['Surprise'],1,0,0,0,1,0,5
26,['Simple'],['Fake'],0,1,0,CUM NUMĂRĂ UN INGINER OILE CÂND VREA SĂ ADOARMĂ,HOW AN ENGINEER COUNTS SHEEP WHEN HE WANTS TO SLEEP,0.22727272727272727,0.0,0.0,0.0,0.0,['Neutral'],1.0,['love'],1.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,4
27,['Simple'],['Real'],0,1,0,"BAC 
TU","ferry 
YOU",0.06818181818181818,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Positive'],['Joy'],0,1,1,0,0,2,1
28,['Combination'],['Real'],0,0,0,Rasismul explcat idioților,Racism explained to idiots,0.09090909090909091,0.0,0.0,0.0,0.0,['Neutral'],1.0,['love'],1.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,0
29,['Simple'],['Real'],0,1,0,"DE 1 IUNIE 
SĂ NU UITĂM DE CEI MICI","FROM JUNE 1 
LET'S NOT FORGET THE LITTLE ONES",0.25,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,1,2
30,['Combination'],['Real'],0,1,1,"007 
0,7","007 
0.7",0.06818181818181818,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,5
31,['Combination'],['DeepFake'],1,1,0,"AVEȚI COVRIGEI LA 1 LEU? 
DA! 
CÂT COSTĂ?","DO YOU HAVE PRETIES FOR 1 LEU? 
YES! 
HOW MUCH DOES IT COST?",0.4090909090909091,0.0,0.6666666666666666,0.3333333333333333,0.0,['Neutral'],1.0,['surprise'],0.2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,5
32,['Simple'],['Real'],0,0,0,"Sunt pe dieta! 
Mănânc doar morcovi","I'm on a diet! 
I only eat carrots",0.25,0.0,0.0,1.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,5
33,['Combination'],['Real'],0,0,0,"UNDE SE AFLA FRANTA? 
AICI 
UNDE SE AFLA BRAZILIA?
AICI 
UNDE SE AFLA Oltenia? 
AICI","WHERE IS FRANCE? 
HERE 
WHERE IS BRAZIL?
HERE 
WHERE IS Oltenia? 
HERE",0.45454545454545453,0.0,1.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,1,3
34,['Simple'],['Real'],0,0,0,Următorul task este să îți faci temele fără acces la internet,The next task is to do your homework without internet access,0.25,0.0,0.0,0.0,0.0,['Neutral'],1.0,['fear'],1.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,1
35,['Simple'],['Real'],0,1,0,FRATE?,BROTHER?,0.045454545454545456,0.0,1.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,0,5
36,['Combination'],['Real'],0,1,1,"2022 
2024","2022 
2024",0.06818181818181818,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Sadness'],1,0,0,1,0,2,0
37,['Combination'],['Real'],0,0,0,"Ce folosesc pentru a face duș:
 Femeile:
 Bărbații:
 BALSAM
 Mămăligă cu brânză de capră","What I use to shower:
 Women:
 Men:
 BALM
 Polenta with goat cheese",0.4318181818181818,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,0,5
38,['Simple'],['Real'],1,0,0,"Bihorenii în priul rând. 
Pentru Consiliul Județean Bihor","The Bihorens in the first row. 
For the Bihor County Council",0.29545454545454547,1.0,0.0,0.0,0.0,['Neutral'],1.0,['anger'],1.0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,4
39,['Simple'],['Real'],1,0,0,Cine o fi șef la UEFA?,Who will be head of UEFA?,0.1590909090909091,0.0,1.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,5
40,['Combination'],['Fake'],0,0,0,"500 LEI 
O eugenie","500 LEI 
A eugenics",0.11363636363636363,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,0
41,['Simple'],['DeepFake'],1,1,0,SELLY LA SUMMIT-UL NATO,SELLY AT THE NATO SUMMIT,0.11363636363636363,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,0,5
42,['Combination'],['Fake'],0,0,0,"Intoarcerea la serviciu dupa un weekend prelungit 
Angajatii fara copii 
Oof, iar locul ăsta! 
Angajatii cu copii mici 
Bună ziua, muncăăăă! Uhuu!!!!","Returning to work after a long weekend 
Employees without children 
Oof, and this place! 
Employees with small children 
Hello work! Whoah!!!!",0.7272727272727273,0.0,0.0,1.0,0.0,['Positive'],0.6666666666666666,['joy'],0.6666666666666666,1,0,0,1,0,0,0,1,0,0,1,0,0,0,['Negative'],['Surprise'],1,0,0,0,1,0,2
43,['Simple'],['Real'],0,0,0,Prima mea intalnre cu Irina eram la ea la poartă si ieșise măsa-mare  s-o strige că i a făcut urzici cu niște ouă ochi,"My first meeting with Irina, I was with her at the gate and she came out to yell at her for giving her some eyeballs.",0.6136363636363636,1.0,0.0,0.0,0.0,['Neutral'],1.0,"['anger', 'fear', 'surprise']",0.2857142857142857,0,1,0,0,1,0,1,0,1,1,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,0,5
44,['Combination'],['Real'],0,0,0,"Buzunarul stang 
Buzunarul drept","Left pocket 
Right pocket",0.11363636363636363,0.0,0.0,0.0,0.0,['Neutral'],1.0,"['sadness', 'surprise']",0.5,1,0,0,0,1,0,1,0,0,0,0,0,1,1,['Negative'],['Surprise'],1,0,0,0,1,0,5
45,['Simple'],['Real'],1,0,0,Eu cu salariul in mana incercand sa imi aduc aminte cand a lucrat guvernul jumatate din turele mele,Me with my salary in my hand trying to remember when the government worked half of my shifts,0.4090909090909091,0.0,0.0,0.0,0.0,['Neutral'],1.0,"['fear', 'joy', 'love']",0.3333333333333333,0,1,0,0,1,0,1,0,0,1,1,1,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,0
46,['Simple'],['DeepFake'],1,0,0,"Clotilde e o Șoșoacă pentru bula educată 
CHANGE MY MIND","Clotilde is a Sossoaca for the educated bubble 
CHANGE MY MIND",0.2727272727272727,0.0,0.0,0.0,0.0,['Neutral'],1.0,['fear'],1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,0
47,['Simple'],['Real'],1,0,0,"""Securist încercând să-nțeleagă nota informativă a lui Nicușor Dan""","""Securist trying to understand Nicușor Dan's information note""",0.25,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,0,5
48,['Simple'],['Real'],1,1,0,INCA 4 ANI CU BORDURI SI PALMIERI IN S3,4 MORE YEARS WITH BORDER AND PALM TREES IN S3,0.22727272727272727,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,0
49,['Simple'],['DeepFake'],0,0,0,"BIBLIOTECA PENTRU TOȚI COPIII
AMINTIRI DIN COPILĂRIE 
Ion Creangă","THE LIBRARY FOR ALL CHILDREN
CHILDHOOD MEMORIES 
Ion Creanga",0.25,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,1,2
50,['Simple'],['DeepFake'],1,1,0,SIFOANE,Traps,0.022727272727272728,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,['Negative'],['Joy'],1,0,1,0,0,2,0
51,['Simple'],['Fake'],0,0,0,"Vanzatoarea : 
- Sunt 62 de lei. 
-Am 100. 
-Da-mi 12 sa-ti dau 50, sau 2 sa-ti dau 40. 
Eu :","Seller: 
- It's 62 lei. 
- I have 100. 
-Give me 12 and I'll give you 50, or 2 and I'll give you 40. 
Me:",0.8636363636363636,1.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,5
52,['Simple'],['DeepFake'],0,0,0,Cand tai un copac in Sibiu,When you cut a tree in Sibiu,0.1590909090909091,0.0,0.0,0.0,0.0,['Neutral'],1.0,"['anger', 'joy', 'love', 'surprise']",0.25,0,1,1,0,0,0,1,0,1,0,1,1,0,1,['Negative'],['Surprise'],1,0,0,0,1,1,5
53,['Simple'],['Real'],1,1,0,DUPĂ ALEGERI DEVIN VEGETARIAN,AFTER THE ELECTION I BECAME A VEGETARIAN,0.1590909090909091,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,0
54,['Simple'],['Fake'],0,0,1,"firmele care fac bannere publicitare, în perioada alegerilor 
stonks","the companies that make advertising banners, during the elections 
stonks",0.2727272727272727,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,0,2
55,['Simple'],['Real'],0,0,0,"Cea mai mare minciuna: 
https://forms.gle/wzqNoy3e9hpA9fdk8 
Lucrade de Licență 
Lucrade de Licență 
Dureaza 5 min","The biggest lie: 
https://forms.gle/wzqNoy3e9hpA9fdk8 
Bachelor theses 
Bachelor theses 
It lasts 5 min",0.38636363636363635,0.0,0.0,0.0,0.0,['Neutral'],1.0,"['anger', 'sadness']",0.5,0,1,0,0,1,0,1,0,1,0,0,0,1,0,['Negative'],['Surprise'],1,0,0,0,1,2,4
56,['Simple'],['Real'],0,1,0,MI-A ZIS UN COPIL ”SARU' MANA”,"A CHILD TOLD ME ""KISS MY HAND""",0.20454545454545456,0.0,0.0,0.0,0.0,['Positive'],1.0,['joy'],0.5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,4
57,['Simple'],['Real'],0,0,0,"Mihai, tu mi-ai pus praf saharian pe Logan?!","Mihai, you put Saharan dust on Logan?!",0.22727272727272727,0.0,0.5,0.5,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,5
58,['Simple'],['Real'],0,0,0,"Când ești cu naveta și aștepți să termine profesoara de vorbit la începutul ultimei ore, ca să ceri voie să pleci că îți pornește autobuzul imediat","When you're on the shuttle and you're waiting for the speech teacher to finish at the beginning of the last class, so you can ask permission to leave because your bus is starting right away",0.8636363636363636,0.0,0.0,0.0,0.0,['Positive'],0.6,"['sadness', 'surprise']",0.4,0,1,0,0,1,0,0,1,0,0,0,0,1,1,['Negative'],['Surprise'],1,0,0,0,1,0,1
59,['Simple'],['Real'],0,1,0,"INCALZIREA GLOBALA 
ASA A VRUT DUMNEZEU 
16 GRADE IARNA","GLOBAL WARMING 
THAT'S WHAT GOD WANTED 
16 DEGREES IN WINTER",0.29545454545454547,0.0,0.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,4
60,['Simple'],['Real'],0,0,0,"Și, cum ai de gând să o impresionezi? 
El:","And how are you going to impress her? 
He:",0.2727272727272727,0.0,1.0,0.0,0.0,['Neutral'],1.0,['surprise'],0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,5
61,['Combination'],['Real'],1,0,0,"Bună ziua! Mă numesc Alex Nedea și sunt jurnalist la Recorder. 
Om de afaceri cu legături politice 
Aș vrea să vă pun câteva întrebări... 
...legate de contractele firmei dumneavoastră cu statul român.","Hello! My name is Alex Nedea and I am a journalist at the Recorder. 
Businessman with political connections 
I would like to ask you some questions... 
...related to your company's contracts with the Romanian state.",1.0,0.4,0.0,0.2,0.4,['Positive'],1.0,['surprise'],0.2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,0
62,['Simple'],['Fake'],0,0,0,"În drum spre parcarea laterală după ce ți-a murit motorul de 12 ori deja 
Examen","On your way to side parking after your engine has died 12 times already 
Exam",0.36363636363636365,0.0,0.0,0.0,0.0,['Neutral'],1.0,"['fear', 'sadness']",0.5,0,1,0,1,0,0,1,0,0,1,0,0,1,0,['Negative'],['Surprise'],1,0,0,0,1,2,4
63,['Simple'],['DeepFake'],1,0,0,"Klaus Iohannis 
43m 
Asta cu 3 euro in plus la Netflix pentru fiecare locuință mi se pare o prostie, sincer! 
20,2K 
7,0K Comments 2,8K Shares 
Like Comment Share","Klaus Iohannis 
43 m 
This with 3 euros extra for Netflix for each home seems stupid to me, honestly! 
20.2K 
7.0K Comments 2.8K Shares 
Like Comment Share",0.8409090909090909,0.0,0.0,1.0,0.0,['Positive'],0.75,"['joy', 'love']",0.5,0,1,1,0,0,0,0,1,0,0,1,1,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,0
64,['Combination'],['Real'],1,0,0,"Da bani la profesori or draw 25 
Guvern","Give money to teachers or draw 25 
Government",0.20454545454545456,0.0,0.0,0.0,0.0,['Positive'],0.6666666666666666,['love'],0.2727272727272727,1,0,0,0,1,0,0,1,0,0,0,1,0,0,['Negative'],['Surprise'],1,0,0,0,1,2,0
65,['Combination'],['Real'],0,1,0,"MASCA ESTE OBLIGATORIE! 
ROMÂNII:","THE MASK IS MANDATORY! 
ROMANIANS:",0.18181818181818182,0.0,0.0,1.0,0.0,['Neutral'],1.0,['surprise'],0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,['Negative'],['Surprise'],1,0,0,0,1,2,4
66,['Combination'],['Real'],0,0,0,"PROFESOARA DE FRANCEZĂ: SCRIEȚI UN ESEU DE 3 PAGINI! 
EU: 
Google Translate 
Ctrl V","FRENCH TEACHER: WRITE A 3 PAGE ESSAY! 
I: 
Google Translate 
Ctrl V",0.4090909090909091,0.0,0.0,1.0,0.0,['Neutral'],1.0,['love'],1.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,['Negative'],['Surprise'],1,0,0,0,1,0,2
67,['Combination'],['Fake'],0,1,0,"TE-AI PREGĂTIT PENTRU PREZENTAREA DE ASTĂZI, AI ÎNVĂȚAT TOTUL ȘI EȘTI GATA PENTRU ABSOLUT ORICE. 
AUZI CĂ PROFESORUL TĂU A MURIT","YOU'VE PREPARED FOR TODAY'S PRESENTATION, YOU'VE LEARNED EVERYTHING AND YOU'RE READY FOR ABSOLUTELY ANYTHING. 
YOU HEAR THAT YOUR TEACHER HAS DIED",0.5681818181818182,1.0,0.0,0.0,0.0,['Positive'],0.6666666666666666,"['fear', 'sadness']",0.4,1,0,0,1,0,0,0,1,0,1,0,0,1,0,['Negative'],['Surprise'],1,0,0,0,1,2,5
68,['Simple'],['Real'],0,0,0,"-Bă frate cum naiba ai primit un 10? Ești corigent mai mereu... 
Eu:","- Bro, how the hell did you get a 10? You are always correct... 
I:",0.45454545454545453,0.0,0.5,0.0,0.5,['Neutral'],1.0,"['anger', 'fear', 'sadness']",0.3333333333333333,0,1,0,0,1,0,1,0,1,1,0,0,1,0,['Negative'],['Surprise'],1,0,0,0,1,0,5
