,Complexity,Real_Fake,Sentiment1,Sentiment2,Political,TextUppercase,TextLowercase,Original_text,Text
38,Simple,Real,Negative,sadness,Yes,No,No,"Bihorenii în priul rând. 
Pentru Consiliul Județean Bihor","The Bihorens in the first row. 
For the Bihor County Council"
39,Simple,Real,Negative,surprise,Yes,No,No,Cine o fi șef la UEFA?,Who will be head of UEFA?
40,Combination,Fake,Negative,anger,No,No,No,"500 LEI 
O eugenie","500 LEI 
A eugenics"
41,Simple,DeepFake,Neutral,surprise,Yes,Yes,No,SELLY LA SUMMIT-UL NATO,SELLY AT THE NATO SUMMIT
42,Combination,Fake,Neutral,joy,No,No,No,"Intoarcerea la serviciu dupa un weekend prelungit 
Angajatii fara copii 
Oof, iar locul ăsta! 
Angajatii cu copii mici 
Bună ziua, muncăăăă! Uhuu!!!!","Returning to work after a long weekend 
Employees without children 
Oof, and this place! 
Employees with small children 
Hello work! Whoah!!!!"
43,Simple,Real,Neutral,surprise,No,No,No,Prima mea intalnre cu Irina eram la ea la poartă si ieșise măsa-mare  s-o strige că i a făcut urzici cu niște ouă ochi,"My first meeting with Irina, I was with her at the gate and she came out to yell at her for giving her some eyeballs."
44,Combination,Real,Neutral,surprise,No,No,No,"Buzunarul stang 
Buzunarul drept","Left pocket 
Right pocket"
45,Simple,Real,Negative,anger,Yes,No,No,Eu cu salariul in mana incercand sa imi aduc aminte cand a lucrat guvernul jumatate din turele mele,Me with my salary in my hand trying to remember when the government worked half of my shifts
46,Simple,DeepFake,Negative,anger,Yes,No,No,"Clotilde e o Șoșoacă pentru bula educată 
CHANGE MY MIND","Clotilde is a Sossoaca for the educated bubble 
CHANGE MY MIND"
47,Simple,Real,Neutral,surprise,Yes,No,No,"""Securist încercând să-nțeleagă nota informativă a lui Nicușor Dan""","""Securist trying to understand Nicușor Dan's information note"""
48,Simple,Real,Negative,anger,Yes,Yes,No,INCA 4 ANI CU BORDURI SI PALMIERI IN S3,4 MORE YEARS WITH BORDER AND PALM TREES IN S3
49,Simple,DeepFake,Positive,joy,No,No,No,"BIBLIOTECA PENTRU TOȚI COPIII
AMINTIRI DIN COPILĂRIE 
Ion Creangă","THE LIBRARY FOR ALL CHILDREN
CHILDHOOD MEMORIES 
Ion Creanga"
50,Simple,DeepFake,Negative,anger,Yes,Yes,No,SIFOANE,Traps
51,Simple,Fake,Negative,surprise,No,No,No,"Vanzatoarea : 
- Sunt 62 de lei. 
-Am 100. 
-Da-mi 12 sa-ti dau 50, sau 2 sa-ti dau 40. 
Eu :","Seller: 
- It's 62 lei. 
- I have 100. 
-Give me 12 and I'll give you 50, or 2 and I'll give you 40. 
Me:"
52,Simple,DeepFake,Positive,surprise,No,No,No,Cand tai un copac in Sibiu,When you cut a tree in Sibiu
53,Simple,Real,Negative,anger,Yes,Yes,No,DUPĂ ALEGERI DEVIN VEGETARIAN,AFTER THE ELECTION I BECAME A VEGETARIAN
54,Simple,Fake,Neutral,joy,No,No,Yes,"firmele care fac bannere publicitare, în perioada alegerilor 
stonks","the companies that make advertising banners, during the elections 
stonks"
55,Simple,Real,Negative,sadness,No,No,No,"Cea mai mare minciuna: 
https://forms.gle/wzqNoy3e9hpA9fdk8 
Lucrade de Licență 
Lucrade de Licență 
Dureaza 5 min","The biggest lie: 
https://forms.gle/wzqNoy3e9hpA9fdk8 
Bachelor theses 
Bachelor theses 
It lasts 5 min"
56,Simple,Real,Negative,sadness,No,Yes,No,MI-A ZIS UN COPIL ”SARU' MANA”,"A CHILD TOLD ME ""KISS MY HAND"""
57,Simple,Real,Negative,surprise,No,No,No,"Mihai, tu mi-ai pus praf saharian pe Logan?!","Mihai, you put Saharan dust on Logan?!"
58,Simple,Real,Neutral,fear,No,No,No,"Când ești cu naveta și aștepți să termine profesoara de vorbit la începutul ultimei ore, ca să ceri voie să pleci că îți pornește autobuzul imediat","When you're on the shuttle and you're waiting for the speech teacher to finish at the beginning of the last class, so you can ask permission to leave because your bus is starting right away"
59,Simple,Real,Negative,sadness,No,Yes,No,"INCALZIREA GLOBALA 
ASA A VRUT DUMNEZEU 
16 GRADE IARNA","GLOBAL WARMING 
THAT'S WHAT GOD WANTED 
16 DEGREES IN WINTER"
60,Simple,Real,Negative,surprise,No,No,No,"Și, cum ai de gând să o impresionezi? 
El:","And how are you going to impress her? 
He:"
61,Combination,Real,Negative,anger,Yes,No,No,"Bună ziua! Mă numesc Alex Nedea și sunt jurnalist la Recorder. 
Om de afaceri cu legături politice 
Aș vrea să vă pun câteva întrebări... 
...legate de contractele firmei dumneavoastră cu statul român.","Hello! My name is Alex Nedea and I am a journalist at the Recorder. 
Businessman with political connections 
I would like to ask you some questions... 
...related to your company's contracts with the Romanian state."
62,Simple,Fake,Negative,sadness,No,No,No,"În drum spre parcarea laterală după ce ți-a murit motorul de 12 ori deja 
Examen","On your way to side parking after your engine has died 12 times already 
Exam"
63,Simple,DeepFake,Negative,anger,Yes,No,No,"Klaus Iohannis 
43m 
Asta cu 3 euro in plus la Netflix pentru fiecare locuință mi se pare o prostie, sincer! 
20,2K 
7,0K Comments 2,8K Shares 
Like Comment Share","Klaus Iohannis 
43 m 
This with 3 euros extra for Netflix for each home seems stupid to me, honestly! 
20.2K 
7.0K Comments 2.8K Shares 
Like Comment Share"
64,Combination,Real,Negative,anger,Yes,No,No,"Da bani la profesori or draw 25 
Guvern","Give money to teachers or draw 25 
Government"
65,Combination,Real,Negative,sadness,No,Yes,No,"MASCA ESTE OBLIGATORIE! 
ROMÂNII:","THE MASK IS MANDATORY! 
ROMANIANS:"
66,Combination,Real,Neutral,joy,No,No,No,"PROFESOARA DE FRANCEZĂ: SCRIEȚI UN ESEU DE 3 PAGINI! 
EU: 
Google Translate 
Ctrl V","FRENCH TEACHER: WRITE A 3 PAGE ESSAY! 
I: 
Google Translate 
Ctrl V"
67,Combination,Fake,Negative,surprise,No,Yes,No,"TE-AI PREGĂTIT PENTRU PREZENTAREA DE ASTĂZI, AI ÎNVĂȚAT TOTUL ȘI EȘTI GATA PENTRU ABSOLUT ORICE. 
AUZI CĂ PROFESORUL TĂU A MURIT","YOU'VE PREPARED FOR TODAY'S PRESENTATION, YOU'VE LEARNED EVERYTHING AND YOU'RE READY FOR ABSOLUTELY ANYTHING. 
YOU HEAR THAT YOUR TEACHER HAS DIED"
68,Simple,Real,Neutral,surprise,No,No,No,"-Bă frate cum naiba ai primit un 10? Ești corigent mai mereu... 
Eu:","- Bro, how the hell did you get a 10? You are always correct... 
I:"
69,Simple,Fake,Neutral,surprise,No,Yes,No,APĂ CHIOARĂ,PURE WATER
70,Combination,Real,Negative,anger,No,No,Yes,"0 - mesaje 0 - apeluri 
10 - mesaje 7 - apeluri","0 - messages 0 - calls 
10 - messages 7 - calls"
71,Simple,Fake,Neutral,surprise,No,Yes,No,ȘTII CĂ BANANELE AU ACELE PETE NEGRE PENTRU CĂ ORGANIZEAZĂ LUPTE ILEGALE NOAPTEA?,DID YOU KNOW BANANAS HAVE THOSE BLACK SPOTS BECAUSE THEY ORGANIZE ILLEGAL FIGHTS AT NIGHT?
72,Combination,Real,Negative,anger,No,Yes,No,"YOUTUBE ÎNCĂRCÂND UN VIDEO: 
YOUTUBE ÎNCĂRCÂND O RECLAMĂ:","YOUTUBE UPLOADING A VIDEO: 
YOUTUBE UPLOADING AN AD:"
73,Combination,Real,Positive,love,No,No,Yes,cum arăt versus cum ma vede bunica,how I look versus how grandma sees me
74,Combination,Real,Neutral,surprise,No,Yes,No,"ÎNAINTE DE FILM: 
TOT ÎNAINTE DE FILM:","BEFORE THE MOVIE: 
BEFORE THE MOVIE:"
75,Combination,Real,Negative,surprise,No,Yes,No,"DE AZI SUNT LA DIETĂ, ÎN LOC DE 6 FELII DE PIZZA MĂNÂNC DOAR 3","FROM TODAY I AM ON A DIET, INSTEAD OF 6 PIZZA SLICES I EAT ONLY 3"
76,Simple,Fake,Neutral,surprise,No,No,No,GTA San Maramureș,GTA San Maramureș
77,Simple,Real,Neutral,joy,No,No,No,"Eu la 3 noaptea 
Frigiderul","Me at 3 in the morning 
The fridge"
78,Combination,Real,Negative,surprise,No,Yes,No,"ACEL MOMENT CÂND VEZI O GROAPĂ, DAR E PREA TÂRZIU SĂ O MAI EVIȚI:",THAT MOMENT WHEN YOU SEE A PIT BUT IT'S TOO LATE TO AVOID IT:
79,Simple,Real,Negative,joy,No,No,Yes,"când ai dormit 20 ore , dar mai tragi un pui de somn repede","when you've slept 20 hours, but you take another quick nap"
80,Simple,Real,Neutral,surprise,No,Yes,No,"PROFESORUL: NU PUTEȚI SĂ FOLOSIȚI TELEFOANELE, CEASURILE INTELIGENTE SAU LAPTOPUI-LE LA TEST. 
EU:","TEACHER: YOU CANNOT USE THEIR PHONES, SMART WATCHES OR LAPTOP FOR THE TEST. 
I:"
81,Simple,Real,Negative,surprise,No,Yes,No,"O SĂ MĂ APUC DE ÎNVĂȚAT LA 11. 
CEASUL MEU: 
10:65","I WILL START STUDYING AT 11. 
MY WATCH: 
10:65"
82,Combination,Real,Negative,fear,No,Yes,No,"CUM VĂD PĂRINȚII ȘCOALA:
CUM VĂD COPII ȘCOALA:","HOW THE PARENTS SEE THE SCHOOL:
HOW CHILDREN SEE SCHOOL:"
83,Combination,Real,Positive,joy,No,No,No,"Munikipiul București - PMkB 
10 septembrie la 18:08 
© Ionuț Oprea 
Urmeaza statia Drumul Taberei cu peronul pe partea stanga","Munikipiul Bucharest - PMkB 
September 10 at 6:08 p.m 
© Ionut Oprea 
Follow Drumul Taberei station with the platform on the left"
84,Simple,Real,Negative,anger,No,No,No,"Când ajungi prima oară în Cluj 
recorder 
Mai este mult până la metrou?","When you first arrive in Cluj 
recorder 
Is it still far to the subway?"
85,Simple,Real,Negative,joy,Yes,Yes,No,"VII ASTĂ-SEARĂ PE LA MINE? 
AM APĂ CALDĂ.","ARE YOU COMING TO ME TONIGHT? 
I HAVE HOT WATER."
86,Simple,DeepFake,Neutral,surprise,Yes,No,No,"Azi de dimineață într-un apartament din București 
Hooo, Nicușor!","This morning in an apartment in Bucharest 
Hooo, Nicusor!"
87,Simple,Real,Negative,surprise,Yes,Yes,No,CINE A NINS SĂ STRÂNGĂ,WHO SNOWED TO SQUEEZE
88,Simple,Real,Negative,anger,No,No,No,"Neamurile, de Sărbători: când te însori, când faci copii? 
Eu: 
Îmi produceți un stres teribil","Gentiles, on Holidays: when do you get married, when do you have children? 
I: 
You are causing me terrible stress"
89,Simple,Real,Neutral,joy,No,Yes,No,"ASTA INSEAMNA 
SA FII MAFIOT","THIS MEANS 
BE A MAFIA"
90,Simple,Real,Negative,anger,No,Yes,No,"SĂ DAI TREI GOLURI ȘI SĂ IEI BĂTAIE CU 2-0 
ASTA ÎNSEAMNĂ SĂ FII MAFIOT","SCORING THREE GOALS AND TAKE A 2-0 BEAT 
THIS IS WHAT IT MEANS TO BE A MAFIA"
91,Simple,Fake,Neutral,surprise,No,Yes,No,"SPEIȘ 
THE FINAL FRONTIER","SPACE 
THE FINAL FRONTIER"
92,Simple,Real,Negative,anger,Yes,Yes,No,"CÂND VEZI PRIMELE EXIT POLL-URI 
CE-I, FĂ, ASTA?","WHEN YOU SEE THE FIRST EXIT POLLS 
WHAT IS THIS?"
93,Simple,Real,Negative,anger,Yes,Yes,No,"CÂND VEZI CĂ S-A STRICAT GOOGLE 
DAR PE TINE NU POT DA VINA","WHEN YOU SEE GOOGLE IS BROKEN 
BUT I CAN'T BLAME YOU"
94,Simple,Real,Negative,surprise,Yes,Yes,No,"DAN BARNA, CITIND ZIARUL.","DAN BARNA, READING THE NEWSPAPER."
95,Simple,Real,Negative,anger,No,No,No,"Eu și prietena mea în cămin la 12 noaptea, ne certăm cu paznicul @studentnews.info","Me and my girlfriend in the dorm at 12 at night, arguing with the guard @studentnews.info"
96,Simple,Real,Neutral,surprise,No,No,No,"Buna ziua, aveti 2 secunde sa vorbim despre mantuitorul nostru Iisus Hristos?","Hello, do you have 2 seconds to talk about our savior Jesus Christ?"
97,Combination,Real,Negative,anger,No,No,No,"TU 
PISICA 
bagi bradul în casă
scoți globurile 
împodobști 
termini de împodobit","YOU 
CAT 
put the tree in the house
remove the globes 
decorate 
finish to decorate"
98,Simple,Real,Neutral,surprise,No,Yes,No,"CE DACĂ FATA PE CARE O PLACI ARE IUBIT? 
ȘI FOTBALUL ARE PORTAR ȘI TOT DAI GOL...","WHAT IF THE GIRL YOU LIKE HAS LOVED YOU? 
FOOTBALL ALSO HAS A GOALKEEPER AND YOU STILL SCORE A GOAL..."
99,Simple,Real,Negative,surprise,Yes,No,No,"""Marian, bine că mi-ai adus telefonul, imbecilul dracului""","""Marian, bine că mi-ai adus telefonul, imbecilul dracului"""
100,Simple,Real,Neutral,anger,No,Yes,No,"SPUNE, UNDE ESTE PARTENERUL TĂU ?","SAY, WHERE'S YOUR PARTNER?"
101,Simple,Fake,Negative,love,No,No,No,Cum se uită un șofer de BMW la linia de tramvai liberă,How a BMW driver looks at the free tram line
102,Simple,Fake,Negative,anger,No,No,No,Mama uitandu-se la mine in timp ce pun o farfurie murdara in chiuveta proaspat golita,Mom looking at me as I put a dirty plate in the freshly emptied sink
103,Simple,Fake,Negative,anger,Yes,No,No,Bucurestean in hainele de casa pe timpul iernii,Bucharest in home clothes during the winter
104,Simple,Real,Negative,surprise,No,No,No,eu: putem sa ne oprim la McDrive? maica-mea: avem McDrive acasa  McDrive acasa:,me: can we stop at McDrive? my mother: we have McDrive at home McDrive at home:
105,Simple,Fake,Neutral,love,No,Yes,No,CÂINELE MEU CÂND MĂNÂNC CEVA:,MY DOG WHEN I EAT SOMETHING:
106,Combination,Fake,Negative,sadness,Yes,No,No,Așteptând să vină apa caldă,Waiting for the hot water to come on
107,Simple,Real,Negative,anger,Yes,No,No,"dau chirie in Cluj: spatioasa, pat dublu, vedere la piscina, 439eur,fara cheltuieli","for rent in Cluj: spacious, double bed, pool view, 439eur, no expenses"
108,Simple,Real,Negative,anger,No,No,No,Când vrei să te răzbuni pe musca care nu te-a lăsat să dormi toată noaptea,When you want to take revenge on the fly that didn't let you sleep all night
109,Simple,Real,Negative,sadness,No,No,No,Când încerc sa mănânc noaptea în liniște și scap lingura pe jos,When I try to eat quietly at night and drop the spoon on the floor
110,Combination,Fake,Negative,anger,Yes,Yes,No,NU ARUNCĂ LUMEA CU OUĂ ÎN TINE DACĂ SUNT PREA SCUMPE,THE WORLD DON'T THROW EGGS AT YOU IF THEY ARE TOO EXPENSIVE
111,Simple,Fake,Neutral,sadness,No,No,No,Eu la munca incercand sa par ocupat,Me at work trying to look busy
112,Simple,Fake,Negative,sadness,No,No,No,Cand te uiti la ceas sa vezi cat mai ai de dormit si vezi ca mai sunt 5 minute pana suna alarma,When you look at the clock to see how much sleep you have left and see that there are 5 minutes left until the alarm goes off
113,Simple,Real,Negative,anger,No,No,No,Atunci cand un coleg pune o intrebare care lungeste sedinta cu 25 de minute.,When a colleague asks a question that prolongs the meeting by 25 minutes.
114,Simple,Fake,Negative,fear,No,Yes,No,CAND ESTI SINGUR ACASA SI AUZI UN ZGOMOT,WHEN YOU ARE ALONE AT HOME AND YOU HEAR A NOISE
115,Simple,Real,Positive,joy,No,Yes,No,CAND COBORI LA TOMBERON SA ARUNCI GUNOIUL,"WHEN YOU GO DOWN TO THE TUMP, THROW THE GARBAGE"
116,Simple,Fake,Neutral,sadness,No,No,No,Mamele uitându-se la copiii lor cum cresc și se duc la facultate:,Mothers watching their children grow up and go to college:
117,Simple,Fake,Negative,surprise,No,No,No,Prietenul tău care a venit cu 2 alți băieți la petrecerea ta,Your friend who came with 2 other guys to your party
118,Simple,Fake,Negative,anger,No,No,No,Cuplurile după 9 luni de carantină împreună,Couples after 9 months of quarantine together
119,Simple,Fake,Neutral,fear,No,No,No,Eu încercând să par relaxat uitându-mă la televizor în timp ce mama vorbește cu diriginta la telefon,Me trying to look relaxed watching TV while my mom talks to the manager on the phone
120,Combination,Fake,Negative,anger,No,No,No,Dintele meu cariat uitându-se la mine cum plătesc ultimii 300€ pentru haine băutură și țigări în loc să mă duc la dentist,My decayed tooth watching me pay the last €300 for clothes booze and cigarettes instead of going to the dentist
121,Combination,Fake,Negative,anger,No,No,No,Când te-ai gătit 3 ore ca să ieși la întâlnire și el a decis că nu vă mai puteți vedea azi,When you cooked for 3 hours to go out on a date and he decided you couldn't see each other today
122,Combination,Real,Negative,sadness,No,No,No,"Eu căutând online cum să fac venit pasiv fără universitate, fără investiții și fără lucru","Me searching online how to make passive income without university, without investment and without work"
123,Combination,Fake,Negative,anger,No,No,No,Eu: *povestesc mamei despre ziua mea la școală   Mama care deja a primit un sunet de la școală despre faptul că nu am fost la lecții,Me: *telling my mom about my day at school Mom who already got a sound from the school that I didn't attend lessons
124,Simple,Real,Negative,anger,No,No,No,Directorul: *cumpără bănci noi pentru școală*  Elevii din ultima bancă :,Principal: *buys new benches for the school* Students in the last bench:
125,Simple,Fake,Neutral,joy,No,No,No,"Fața mea când bancomatul face ""krrrrrrrrrrrrrr"" înainte să imi dea 1000 de lei în bancote de 1","My face when the ATM goes ""krrrrrrrrrrrrr"" before giving me 1000 lei in 1 denominations"
126,Simple,Real,Negative,fear,No,No,No,Eu : ling cuțitul după ce am terminat Ceilalți chirurgi care mă asistă la operație :,Me: licking the knife after I'm done The other surgeons assisting me in the operation:
127,Combination,Fake,Positive,joy,No,No,No,Eu la 3 ani după ce mi-am turnat suc de mere în paharul de vin ca să pot bea cu toți la masă,Me 3 years after I poured apple juice into my wine glass so I could drink with everyone at the table
128,Combination,Fake,Neutral,sadness,No,No,No,"Când ai terminat să speli podeaua, dar ți-ai uitat telefonul în laltă cameră",When you finished mopping the floor but left your phone in the other room
129,Combination,Real,Negative,surprise,No,No,No,"Când ai văzut pe frigider un bilețel de la prietena ta care scire ""Nu mai merge"", iar când deschizi frigiderul vezi că el defapt merge","When you saw a note on the fridge from your friend saying ""It doesn't work anymore"", and when you open the fridge you see that it actually works"
130,Simple,Real,Neutral,sadness,No,No,No,"Când trebuie să feliciți pe cineva, și deja ai folosit cuvintele ""sănătate"" și ""fericire""","When you need to congratulate someone, and you've already used the words ""health"" and ""happiness"""
131,Simple,Real,Negative,sadness,No,No,No,Eu de feicare dată când cineva îmi zice ceva mai lung de 8 secunde,Me every time someone tells me something longer than 8 seconds
132,Simple,Fake,Negative,sadness,No,No,No,"Când te sună șeful în timpul orelor de lucru și te pune să lucrezi la ceva , și acum trebuie să ieși din jocul tău online","When your boss calls you during work hours and makes you work on something, and now you have to get out of your online game"
133,Combination,Fake,Negative,sadness,No,No,No,"- de când sunteți la muncă în Italia ?  - Sunt acolo deja al 15-lea an  -wow, deci cred că aveți mulți bani  eu:","- since when have you been working in Italy?  - I've been there for the 15th year already -wow, so I think you have a lot of money me:"
134,Combination,Real,Positive,joy,No,No,No,Fața mea când părinții au venit la școală să mă ia mai devreme de la lecții,My face when my parents came to school to pick me up early from lessons
135,Combination,Fake,Negative,anger,No,No,No,Copiii tăi când nu faci nimic vs. copiii tăi când intri în conference call cu colegii de la lucru,Your kids when you do nothing vs. your children when you enter the conference call with colleagues from work
136,Simple,Real,Negative,sadness,No,No,No,Eu în timp ce mă pregătesc de un video call care putea să fie un simplu email,Me while preparing for a video call that could have been a simple email
137,Combination,Fake,Negative,fear,No,No,No,"Eu cu mama, în timp ce profa pe skype povestește despre cum eu mă jucam counter strike în loc să ascult lecția online","Me and my mom, while the teacher talks on Skype about how I was playing counter strike instead of listening to the online lesson"
138,Combination,Fake,Negative,sadness,No,No,No,"Când te-ai jucat până dimineața online, și aucm trebuie să intri în conference call pentru lecția online","When you played until the morning online, and now you have to enter the conference call for the online lesson"
139,Combination,Fake,Negative,anger,No,No,No,"Eu : mă scuzați că am întârziat, traficul a fost cam greu   Profa pe webcam :","Me: I'm sorry I'm late, the traffic was a bit heavy Profa on webcam:"
140,Simple,Fake,Neutral,surprise,No,No,No,Eu explicând prietenei mele diferența între C++  Javasript și python,Me explaining to my friend the difference between C++ Javasript and python
141,Simple,Fake,Positive,joy,No,No,No,Eu la toate petrecerile prezentând colecția mea secretă de meme-uri care încă nu au fost postate,Me at all the parties showing off my secret collection of memes that haven't been posted yet
142,Simple,Fake,Negative,sadness,No,No,No,Studenții de peste hotare în primul lor an de cămin:,International students in their first year of residence:
143,Simple,Fake,Positive,joy,No,No,No,Cum se simt cei care cumpără sare de Himalaya în loc de sare normală,How do people feel about buying Himalayan salt instead of normal salt
144,Simple,Fake,Negative,sadness,No,No,No,"Când te-ai dus la mare pentru a scăpa de depresie, dar acum stai la mare depresat","When you went to the beach to get rid of depression, but now you stay at the beach depressed"
145,Simple,Real,Negative,anger,No,No,No,Tata uitându-se la nota mea de 2 la exercițiile de matematică pe care el singur le-a rezolvat,Dad looking at my grade 2 on the math exercises he solved himself
146,Simple,Fake,Negative,sadness,No,No,No,Eu de 25 ani care încă nu am învățat cum e corect să te comporți când cineva plânge,25-year-old me who still hasn't learned how to behave properly when someone cries
147,Simple,Real,Negative,surprise,No,No,No,Când trece dirigintele pe lângă tine după ce i-ai spus că nu vii la școală că ești răcit,When the conductor passes you by after you told him you're not coming to school because you have a cold
