,Complexity,Real_Fake,Political,TextUppercase,TextLowercase,text,label
45,Simple,Real,Yes,No,No,Eu cu salariul in mana incercand sa imi aduc aminte cand a lucrat guvernul jumatate din turele mele,Anger
307,Simple,Real,Yes,No,No,Decat nota!,Joy
228,Simple,Real,No,No,No,"vând cozonac IKEA, trebuie doar montat! Rogseriozitate!",Surprise
399,Simple,Real,No,No,No,"Am nimerit la nebuni!
Vaiii, ce-mi place!",Joy
290,Simple,Fake,Yes,No,No,Se înființează de urgență Uniunea Salvați USR! Little Yoda to the rescue! #memepolitice,Surprise
16,Simple,Fake,Yes,No,No,Așteptând să vină apa caldă,Sadness
428,Simple,Real,No,No,No,Ăstia puteam fi noi dar tie ti-a plăcut scoala,Sadness
63,Simple,DeepFake,Yes,No,No,"Klaus Iohannis 
43m 
Asta cu 3 euro in plus la Netflix pentru fiecare locuință mi se pare o prostie, sincer! 
20,2K 
7,0K Comments 2,8K Shares 
Like Comment Share",Anger
329,Simple,Fake,Yes,No,No,Miau...taiat-o!,Sadness
3,Simple,Real,Yes,No,No,"Eu, uitându-mă pe ultimele sondaje politice din România:",Anger
153,Simple,Real,No,Yes,No,"OK, GOOGLE, UNDE E MASINA MEA?",Sadness
60,Simple,Real,No,No,No,"Și, cum ai de gând să o impresionezi? 
El:",Surprise
110,Combination,Fake,Yes,Yes,No,NU ARUNCĂ LUMEA CU OUĂ ÎN TINE DACĂ SUNT PREA SCUMPE,Anger
333,Combination,Fake,No,Yes,No,ROMANIA IN PRELIMINARII  ROMANIA IN AMICALE,Sadness
229,Combination,Real,No,No,No,Babele din România Babele din Europa,Sadness
29,Simple,Real,No,Yes,No,"DE 1 IUNIE 
SĂ NU UITĂM DE CEI MICI",Joy
154,Simple,Real,No,No,No,Fanii Coldplay când văd maneliști pe scenă,Surprise
231,Combination,Fake,Yes,No,No,Il omor sau nu? NU DA Voi alegeti :)),Joy
26,Simple,Fake,No,Yes,No,CUM NUMĂRĂ UN INGINER OILE CÂND VREA SĂ ADOARMĂ,Sadness
7,Simple,Real,No,Yes,No,EU EXPLICANDU-LE ROMANILOR CA NU E OK SA FACA MISTO CAND ESTE UN SUBIECT SERIOS,Anger
421,Simple,Fake,No,No,No,"Eu: Am luat salariul.
Maşina: Salariul nostru",Sadness
108,Simple,Real,No,No,No,Când vrei să te răzbuni pe musca care nu te-a lăsat să dormi toată noaptea,Anger
238,Simple,Fake,No,No,No,Mâine-i luni!,Sadness
432,Simple,Real,No,No,No,"Prieteni: Când o sã ai si tu copii?
Eu: Am deja un copil",Love
118,Simple,Fake,No,No,No,Cuplurile după 9 luni de carantină împreună,Anger
114,Simple,Fake,No,Yes,No,CAND ESTI SINGUR ACASA SI AUZI UN ZGOMOT,Fear
360,Simple,Real,Yes,No,No,Voi interzice bormasina in weekend,Surprise
422,Simple,Fake,No,No,No,"Trezitul nu e o problemã
Cu ridicatul din pat e mai greu..",Sadness
239,Combination,Real,No,No,No,CE ITI PLACE SA BEI Bere LAPTE!!! LAPTE!!!,Surprise
341,Simple,Real,No,No,No,Singurul antrenor care poate duce Romania la un turneu final,Joy
351,Simple,Real,Yes,No,No,"Patriarhul Daniel a intrat in Pstul Negru Metalizat, 530 CP, motor V12 in 6 litri. Postul prinde 100 km/h in 5 secunde.",Sadness
381,Simple,Fake,No,No,No,Sunt pasionat de fotbal și de mașini,Sadness
379,Simple,Real,No,No,No,"De ce juratii de la Masterchef România din 2012, arată ca o trupă pop/rock?",Surprise
181,Simple,Real,No,Yes,No,ORICE ELEV PE 10 SEPTEMBRIE,Sadness
439,Simple,Real,No,No,No,I-am spus ca poate să o bage oriunde și el a băgat-o în sor'mea,Sadness
141,Simple,Fake,No,No,No,Eu la toate petrecerile prezentând colecția mea secretă de meme-uri care încă nu au fost postate,Joy
368,Combination,Real,No,No,Yes,"pulverizator 
fâs-fâs",Joy
244,Simple,Real,Yes,No,No,Când ai votat cu USR și tre' să te prefaci că e totul o.k.,Sadness
380,Simple,Real,No,No,No,Ai 16 ani din ce metrix trebuie să scapi bă vere uită te dreq la Ben 10 si lasă l pe Andrew Tate,Anger
320,Simple,Real,No,No,No,"Steagul oficial, al anului 2020!",Anger
109,Simple,Real,No,No,No,Când încerc sa mănânc noaptea în liniște și scap lingura pe jos,Sadness
208,Simple,Real,Yes,No,No,Mai multe filiale ale Institului Cantacuzino au reluat producția de vaccinuri antigripale...,Sadness
145,Simple,Real,No,No,No,Tata uitându-se la nota mea de 2 la exercițiile de matematică pe care el singur le-a rezolvat,Anger
325,Simple,Real,No,Yes,No,AM RAS,Joy
152,Simple,Real,No,Yes,No,CE SIMPLU AR FI DACA N-AR FI GREU,Sadness
405,Simple,Real,No,Yes,No,"HALBĂ CA ZĂPADA
ȘI CEI ȘAPTE MICI",Joy
193,Simple,DeepFake,No,No,No,"Cum adica, lucrez pe 31 decembrie?",Surprise
83,Combination,Real,No,No,No,"Munikipiul București - PMkB 
10 septembrie la 18:08 
© Ionuț Oprea 
Urmeaza statia Drumul Taberei cu peronul pe partea stanga",Joy
395,Simple,Real,No,No,No,Bea o gură si taci!,Joy
165,Simple,Real,No,Yes,No,IN ROMANIA NU CONTEAZA CINE ESTI  CONTEAZA UNDE PARCHEZI,Surprise
280,Combination,Real,Yes,No,No,FACEBOOK Linkedin Instagram Tinder,Joy
436,Simple,Real,No,No,No,Plantele din casă când văd că pun apă în espressorul de cafea,Sadness
74,Combination,Real,No,Yes,No,"ÎNAINTE DE FILM: 
TOT ÎNAINTE DE FILM:",Surprise
430,Combination,Fake,No,No,No,Mergi sa-i cunosti parintii si i suna telefonu' lu' tacsu la tine in geacă,Fear
317,Simple,Fake,No,No,No,Vrei ceva de la mega ?,Surprise
210,Simple,Real,No,No,No,"Când trebuie să faci curățenie, dar nu ai nicio motivație așa că stai un pic să își aduni forțele.",Sadness
119,Simple,Fake,No,No,No,Eu încercând să par relaxat uitându-mă la televizor în timp ce mama vorbește cu diriginta la telefon,Fear
441,Simple,Fake,No,No,No,Când i-ai trimis mesajul acum 7h si a fost activa acum 10 minute,Sadness
410,Simple,Real,No,Yes,No,NOUL ALBUM AL LUI SALAM,Surprise
375,Simple,Real,No,No,No,Când auzi că se închide FileList,Sadness
355,Simple,Real,Yes,Yes,No,FOAIE VERDE CURCUBEU MAI PROASTA CA MINE-S EU,Joy
455,Simple,Real,No,Yes,No,CE S-A SCHIMBAT TURNU EFEL,Surprise
334,Combination,Real,No,Yes,No,"TATI, CE INSEAMNA SA DAI GOL? NU STIU FIULE, SUNTEM FANI ROMANIA",Sadness
275,Simple,Real,Yes,Yes,No,AM GĂSIT 23 DE ORDONANȚE LA PENELEU,Surprise
354,Simple,Real,Yes,No,No,"""Vreau sa ne unim cu Moldova, dar nu inainte ca Moldova sa se uneasca cu patria-muma, Rusia!""",Anger
245,Simple,Real,Yes,No,No,Adoptă o căpușă! O campanie PNL USRPLUS pentru București USRPLUS,Surprise
36,Combination,Real,No,Yes,Yes,"2022 
2024",Anger
139,Combination,Fake,No,No,No,"Eu : mă scuzați că am întârziat, traficul a fost cam greu   Profa pe webcam :",Anger
336,Simple,Fake,Yes,Yes,No,ECHIPA NATIONALA,Surprise
204,Simple,Real,No,No,No,"Atâta timp cât din leu nu se pot face sarmale, pentru mine tot porcul rămâne regele animalelor :))",Joy
403,Simple,Real,No,Yes,No,MA IA CU FREZOANE,Sadness
261,Simple,Fake,Yes,Yes,No,"MINISTRA ÎNVĂȚĂMÂNTULUI: ""NICIO ȘCOALĂ FĂRĂ PEPSIGLASS PE BĂNCI!""",Sadness
59,Simple,Real,No,Yes,No,"INCALZIREA GLOBALA 
ASA A VRUT DUMNEZEU 
16 GRADE IARNA",Sadness
111,Simple,Fake,No,No,No,Eu la munca incercand sa par ocupat,Sadness
248,Simple,Real,Yes,No,No,Adoptă un țânțar! O campanie PNL USRPLUS pentru București USRPLUS,Surprise
287,Simple,Real,No,Yes,No,NU-I MOMENTU' ACUUUUUUM,Surprise
6,Combination,Fake,No,No,No,Când încerci să înțelegi logica șoferilor care claxonează deși semaforul este roșu,Anger
332,Simple,Fake,No,Yes,No,FANII ROMANIEI ASTEPTAND UN GOL CU LICHTENSTEIN,Sadness
318,Simple,Fake,Yes,Yes,No,BREXIT,Anger
158,Simple,Real,No,No,No,Când îi vezi pe ăia din provincie că fac meme cu metroul din București,Surprise
150,Combination,Fake,No,Yes,No,TOTI ROMANII CARE AU CRITICAT NATIONALA INAINTE DE EURO,Fear
177,Simple,Real,No,Yes,No,CAND TU SI PRIETENII TAI  AFLATI CA ATI LUAT BACUL,Joy
184,Simple,Real,Yes,Yes,No,ASTA PUTEA FI ROMANIA  DAR TU VOTEZI CU PSD,Anger
10,Combination,Real,No,No,No,"Amator ,,Banii sau viața!"" 
Profesionist ,,Semnează aici pentru încheierea acordului de vasalitate""",Sadness
322,Simple,Fake,No,No,No,The Trollfather,Surprise
103,Simple,Fake,Yes,No,No,Bucurestean in hainele de casa pe timpul iernii,Anger
81,Simple,Real,No,Yes,No,"O SĂ MĂ APUC DE ÎNVĂȚAT LA 11. 
CEASUL MEU: 
10:65",Surprise
38,Simple,Real,Yes,No,No,"Bihorenii în priul rând. 
Pentru Consiliul Județean Bihor",Sadness
346,Simple,Real,Yes,Yes,No,DAC-AS FI PENTRU O ZI PRESEDINTE,Joy
167,Simple,Real,No,Yes,No,CUM TE SIMȚI CĂND ȚI-AI FĂCUT TEMELE DE VACANȚĂ  ȘI COLEGII APELEAZĂ LA TINE,Joy
434,Simple,Real,No,No,No,Dacă nu vă potoliți îl opresc iar ....,Anger
338,Simple,Real,No,No,No,Minutul 70...coafura rezista!,Sadness
198,Simple,Real,No,Yes,No,MOMENTUL ALA CANDII VEZI PE AIA DE LA ANTENA 1  CUM ARATA IN HD,Surprise
271,Simple,Fake,Yes,No,No,- Si una de jale,Sadness
311,Simple,Real,No,No,No,Asta inseamna sa fii mafiot,Surprise
218,Simple,Real,No,No,No,"Iubit, ti-am făcut programare la solar!",Surprise
194,Simple,Fake,No,Yes,No,CÂND AȘTEPȚI CA O TELEVIZIUNE ROMÂNĂ  SĂ DEA O ȘTIRE DESPRE CUTREMUR,Anger
89,Simple,Real,No,Yes,No,"ASTA INSEAMNA 
SA FII MAFIOT",Joy
253,Simple,Real,No,Yes,No,"ALO, DISPECERATUL? VĂ ROG AJUTAȚI-MĂ, MI-A INTRAT APA ÎN CASĂ ĂĂĂ... PLATĂ SAU MINERALĂ?",Sadness
163,Simple,Real,No,No,Yes,grupuri de intelectuali romani discutand diferentele dintre nihilism si existentialism,Surprise
412,Simple,Real,No,No,No,Client: Oare de ce vine mancarea rece ?,Surprise
147,Simple,Real,No,No,No,Când trece dirigintele pe lângă tine după ce i-ai spus că nu vii la școală că ești răcit,Surprise
2,Simple,Real,No,No,No,"Închiriez apartament cu 2 camere, recent renovat, situat într-o zonă bună, utilat, etc. 
Preț: 1000 de euro pe lună, nu se negociază, rog seriozitate.",Sadness
92,Simple,Real,Yes,Yes,No,"CÂND VEZI PRIMELE EXIT POLL-URI 
CE-I, FĂ, ASTA?",Anger
370,Simple,Real,No,Yes,No,"MĂI ELISABETA, MĂI
ȘI CE TÂNĂRĂ ERAI",Sadness
69,Simple,Fake,No,Yes,No,APĂ CHIOARĂ,Surprise
262,Simple,Real,Yes,Yes,No,ROM\NII PNL BANII PUBLICI,Sadness
123,Combination,Fake,No,No,No,Eu: *povestesc mamei despre ziua mea la școală   Mama care deja a primit un sunet de la școală despre faptul că nu am fost la lecții,Anger
340,Simple,Fake,No,No,No,"Mircea, iti spun sincer, eu am vrut sa-l fac zidar. Dar a insistat sotia....",Sadness
96,Simple,Real,No,No,No,"Buna ziua, aveti 2 secunde sa vorbim despre mantuitorul nostru Iisus Hristos?",Surprise
143,Simple,Fake,No,No,No,Cum se simt cei care cumpără sare de Himalaya în loc de sare normală,Joy
349,Simple,Real,Yes,No,No,PSD a renuntat la boicot. Si-au dat seama ca e o mare lipsa de responsabilitate sa boicoteze cele mai biune surse de spaga.,Joy
450,Simple,Fake,No,No,No,"Cand cuiva Începe sã îi pese de mine
Eu:aici suna a manevră",Fear
246,Simple,Real,Yes,No,No,Adoptă un șobolan! O campanie PNL USRPLUS pentru București USRPLUS,Surprise
97,Combination,Real,No,No,No,"TU 
PISICA 
bagi bradul în casă
scoți globurile 
împodobști 
termini de împodobit",Anger
284,Simple,Fake,Yes,No,No,nimeni: nimic ludovic orban: sa impozitam IT-istii,Anger
68,Simple,Real,No,No,No,"-Bă frate cum naiba ai primit un 10? Ești corigent mai mereu... 
Eu:",Surprise
23,Simple,Real,No,No,No,"Maestre, da-mi un sfat bun pentru zilele noastre 
Oriunde te-ai duce, 
nu uita incarcatorul",Surprise
37,Combination,Real,No,No,No,"Ce folosesc pentru a face duș:
 Femeile:
 Bărbații:
 BALSAM
 Mămăligă cu brânză de capră",Surprise
144,Simple,Fake,No,No,No,"Când te-ai dus la mare pentru a scăpa de depresie, dar acum stai la mare depresat",Sadness
122,Combination,Real,No,No,No,"Eu căutând online cum să fac venit pasiv fără universitate, fără investiții și fără lucru",Sadness
183,Simple,Real,No,Yes,No,DE 1 IUNIE  SĂ NU UITĂM DE CEI MICI,Joy
202,Simple,Real,No,No,No,-Cand mergeti sa colindati? -Cand boierii nu-s acasa...,Sadness
182,Combination,Fake,No,Yes,No,MOMENTUL ALA CAND AI COLEGI CU MANA PE SUS  SI PROFA TE ALEGE PE TINE,Surprise
67,Combination,Fake,No,Yes,No,"TE-AI PREGĂTIT PENTRU PREZENTAREA DE ASTĂZI, AI ÎNVĂȚAT TOTUL ȘI EȘTI GATA PENTRU ABSOLUT ORICE. 
AUZI CĂ PROFESORUL TĂU A MURIT",Surprise
247,Simple,Real,Yes,No,No,Adoptă o groapă! O campanie PNL USRPLUS pentru București USRPLUS,Surprise
365,Simple,Real,Yes,No,No,Cum se uită gândacii la tine când aprinzi lumina în bucătărie.,Surprise
272,Simple,Real,Yes,No,No,TREI PAHARE LA BĂIATU' ȘI PLEC #memepolitice CAMERA DEPUTAȚILOR,Joy
323,Simple,Real,No,No,No,Cateodata beau un pahar cu apa,Joy
274,Simple,Fake,Yes,Yes,No,CE FACEȚI AICI? DĂM ORDONANȚE!,Surprise
367,Simple,Fake,Yes,Yes,No,PARTIDUL SATANIST DOMINANT,Anger
386,Combination,Fake,No,Yes,No,NU AM VIATA SOCIALA DUPA CE AM STAT TOATA VIATA IN FATA PC-ULUI,Sadness
125,Simple,Fake,No,No,No,"Fața mea când bancomatul face ""krrrrrrrrrrrrrr"" înainte să imi dea 1000 de lei în bancote de 1",Joy
146,Simple,Fake,No,No,No,Eu de 25 ani care încă nu am învățat cum e corect să te comporți când cineva plânge,Sadness
352,Simple,Real,Yes,No,No,"Vladimir Putin , mesaj de ultima ora pentru romani: ""Pai ce ati crezut voi, ca o sa intrati in Shengel inaintea noastra?""",Joy
460,Simple,Real,No,Yes,No,"M-AM DUS PE ȘANTIER, POATE AȘA CONSTRUIM ȘI NOI UN VIITOR ÎMPREUNA",Love
223,Combination,Real,Yes,No,No,Un țăran avea o iapă. Până i-au furat-o TÂGANII !!! SFÂRȘIT!,Surprise
388,Simple,Real,No,No,No,Vrei să-ți trag o cârja?,Anger
219,Simple,Fake,No,No,No,Cand ai nevoie de psiholog dar decizi sa te tratezi singura!,Sadness
129,Combination,Real,No,No,No,"Când ai văzut pe frigider un bilețel de la prietena ta care scire ""Nu mai merge"", iar când deschizi frigiderul vezi că el defapt merge",Surprise
390,Simple,Fake,No,No,No,P-ăsta nu-l prinde politia niciodată. Aude sirena cu 3 zile înainte.,Surprise
404,Simple,Fake,No,No,No,Hm. Imi pute a gay,Surprise
302,Simple,Real,Yes,No,No,"Iliescu explica cum a pacalit moartea: ""De 25 de ani ma cauta doar la puscarie si eu sunt acasa""",Joy
459,Combination,Fake,No,No,No,Eu Tu,Love
266,Simple,Fake,Yes,No,No,60 De pruna,Joy
400,Simple,Real,No,Yes,No,MAI RAR AȘA CEVA,Surprise
268,Simple,Fake,Yes,No,No,"Când vrei să mergi în vacanță, dar e pandemie de coronavirus",Sadness
433,Simple,Fake,No,No,No,"Tu si acel prieten, în parcare la Kautland, la ora 24, după două beri:",Joy
112,Simple,Fake,No,No,No,Cand te uiti la ceas sa vezi cat mai ai de dormit si vezi ca mai sunt 5 minute pana suna alarma,Sadness
179,Simple,Fake,No,Yes,No,CAND TOTI PRIETENII TAI SUNT AFARA   SI TU AI TEME DE FACUT,Sadness
281,Combination,DeepFake,Yes,Yes,Yes,2020 2030,Joy
312,Combination,Real,No,No,No,"Si, ce abilitati aveti ?",Surprise
377,Combination,Real,No,No,No,Eu si cu tata chinuindu-ne cu tema la mate din clasa a doua,Sadness
445,Simple,Real,No,No,No,Eu făcându mi câtiva cartofi si două ouă ochiuri,Fear
331,Simple,Real,Yes,No,Yes,guvern protestatari jandarmi,Joy
233,Combination,Fake,No,No,No,Sa nu il scapi e scump! Sa nu il scapi gresia e scumpa!,Fear
289,Simple,Fake,Yes,No,No,ROBU aflând ca DNA îl trimite în judecată #memepolitice,Sadness
164,Combination,Fake,No,No,No,Când ai zis că iei trei puncte cu Bosnia și n-ai luat nimic din nou,Anger
136,Simple,Real,No,No,No,Eu în timp ce mă pregătesc de un video call care putea să fie un simplu email,Sadness
197,Simple,Fake,No,No,No,Când auzi oameni că se ceartă pe strada ta,Surprise
258,Simple,Real,Yes,No,No,Iohanis Ciolos Orban Barna Kelemen hunor,Anger
232,Combination,Fake,Yes,No,No,pe cine il alegi? comm cu:* comm cu :X,Surprise
115,Simple,Real,No,Yes,No,CAND COBORI LA TOMBERON SA ARUNCI GUNOIUL,Joy
120,Combination,Fake,No,No,No,Dintele meu cariat uitându-se la mine cum plătesc ultimii 300€ pentru haine băutură și țigări în loc să mă duc la dentist,Anger
321,Simple,Real,No,Yes,No,YOU WILL REGRET WALKING ME UP!,Anger
224,Simple,Real,No,No,No,După ce bați un tâgan...,Fear
373,Simple,Fake,No,No,No,O eugenie,Joy
310,Simple,Real,No,No,No,Cum se uita un sofer de BMW la olinia de tramvai libera,Joy
127,Combination,Fake,No,No,No,Eu la 3 ani după ce mi-am turnat suc de mere în paharul de vin ca să pot bea cu toți la masă,Joy
285,Simple,Real,Yes,No,No,"pnl, imediat dupa ce castiga alegerile si impoziteaza veniturile IT-stilor",Joy
382,Simple,Real,No,No,No,"Romanii: noi nu serbam Halloween, e un obicei anti-crestin sa iti pui masti de demoni
Tot romanii:",Surprise
107,Simple,Real,Yes,No,No,"dau chirie in Cluj: spatioasa, pat dublu, vedere la piscina, 439eur,fara cheltuieli",Anger
342,Simple,Real,No,Yes,No,AU ZIS CA VOR SEMIFINALE LA EURO,Sadness
299,Simple,Fake,Yes,No,No,Sper sa-i placa lu' Liviu cadoul moșului...,Surprise
133,Combination,Fake,No,No,No,"- de când sunteți la muncă în Italia ?  - Sunt acolo deja al 15-lea an  -wow, deci cred că aveți mulți bani  eu:",Sadness
335,Simple,Real,No,Yes,No,SI VREI SA SPUI CA ROMANIA A TERMINAT PE PRIMUL LOC IN PRELIMINARII?,Anger
44,Combination,Real,No,No,No,"Buzunarul stang 
Buzunarul drept",Surprise
426,Simple,Real,No,Yes,No,CÂND NU VREI SĂ SIMTĂ TAC-TU CĂ AI FUMAT IN MASINA LUI,Fear
65,Combination,Real,No,Yes,No,"MASCA ESTE OBLIGATORIE! 
ROMÂNII:",Sadness
283,Simple,Real,Yes,No,No,pnl veniturile IT-istilor,Sadness
85,Simple,Real,Yes,Yes,No,"VII ASTĂ-SEARĂ PE LA MINE? 
AM APĂ CALDĂ.",Joy
242,Simple,Real,Yes,Yes,No,JE SUIS BĂIATU DE LA USR CU CASCADA MINIMALISTĂ.,Surprise
186,Simple,Real,No,No,No,Când realizezi că nu ai slăbit nici anul ăsta!,Sadness
159,Simple,Real,No,Yes,No,CND MERGI CU RATB ȘI TE PRINDE CONTROLORUL FĂRĂ BILET,Sadness
12,Simple,Fake,Yes,No,No,"UBB: -Ai plagiat 
Politician român",Fear
35,Simple,Real,No,Yes,No,FRATE?,Surprise
28,Combination,Real,No,No,No,Rasismul explcat idioților,Anger
170,Combination,Fake,No,Yes,No,CAND TE PUNE CINEVA LA TREABA,Sadness
142,Simple,Fake,No,No,No,Studenții de peste hotare în primul lor an de cămin:,Sadness
369,Combination,Real,No,No,No,Zi de nastere in anii 2000:,Joy
407,Simple,Real,No,No,No,"Tu mi faci inima sã bată
Cum nu o face nicio fată",Fear
221,Simple,Real,Yes,No,No,Putina lume stie ca buzunarul cel mic de la blugi este pentru salariu,Sadness
95,Simple,Real,No,No,No,"Eu și prietena mea în cămin la 12 noaptea, ne certăm cu paznicul @studentnews.info",Anger
51,Simple,Fake,No,No,No,"Vanzatoarea : 
- Sunt 62 de lei. 
-Am 100. 
-Da-mi 12 sa-ti dau 50, sau 2 sa-ti dau 40. 
Eu :",Surprise
240,Combination,Fake,No,No,No,"Cum e, ma, sa fi insurat? Super tare! masimt de parca as avea iarasi 16 ani! Adica? Fumez in toaleta, beau pe ascuns..",Anger
356,Simple,Real,Yes,No,No,"Succes, Joe Biden!",Anger
378,Combination,Real,Yes,No,No,"Profesorii: *fac grevă, iar orele nu se tin*
Elevii care nu sunt an terminal:",Anger
178,Simple,Real,No,Yes,No,SI VREI SA SPUI CA ROMANIA A TERMINAT PE PRIMUL LOC IN PRELIMINARII?,Surprise
41,Simple,DeepFake,Yes,Yes,No,SELLY LA SUMMIT-UL NATO,Surprise
392,Simple,Real,No,No,No,Sună mã si te rezolv...,Joy
206,Combination,Real,No,No,No,"Învârtitoarea când aveam 6 ani  Învârtitoarea acum, atză-o-ar focu",Sadness
282,Simple,Real,Yes,No,No,"Cand esti IT-ist, votezi pnl si iti dai seama ca o sa iti puna impozit pe venit",Sadness
254,Combination,Fake,Yes,Yes,No,"NU ȘTIE NICI MĂCAR SĂ CALCULEZE DEBITUL UNUI RÂU! BOSS, SUNTEM AICI SĂ FURĂM, NU SĂ CALCULĂM!",Surprise
383,Simple,Fake,No,No,No,"Cluj
120k ron",Sadness
4,Simple,Real,No,No,No,"Dorel electricianul : *Face o improvizație la sistemul electric* 
Eu, pe patul de ATI :",Fear
256,Simple,Fake,Yes,No,No,"Spune-mi lucruri murdare! București, Sector 1",Love
416,Simple,Real,No,No,Yes,"""de ce nu vrei sa intrii la o cafea?""
sosetele mele:",Surprise
100,Simple,Real,No,Yes,No,"SPUNE, UNDE ESTE PARTENERUL TĂU ?",Anger
226,Combination,Real,Yes,No,No,In Canada folosesc abtibilduri pentru a reduce viteza masinilor. In Romnia folosec versiunea in 3D!,Sadness
396,Simple,Real,No,No,No,"Hey, scuze, cred ca m-ai lăsat cu seen din greseala",Surprise
213,Simple,Real,No,No,No,Pe mine mă cheamă George Pe mine nu,Surprise
171,Simple,Real,No,Yes,No,FANII ROMANIEI ASTEPTAND UN GOL CU LIECHTENSTEIN,Sadness
98,Simple,Real,No,Yes,No,"CE DACĂ FATA PE CARE O PLACI ARE IUBIT? 
ȘI FOTBALUL ARE PORTAR ȘI TOT DAI GOL...",Surprise
292,Simple,Fake,Yes,No,No,"Toată lumea: PSD-ule, scapa de baroni,Tutankhamoni, reformează-te!! PSD: NO #memepolitice",Joy
215,Combination,Real,No,Yes,No,M-AM SATURAT DE VIATA ASTA... MAI BINE MA DUC SA-MI IAU BERE,Fear
61,Combination,Real,Yes,No,No,"Bună ziua! Mă numesc Alex Nedea și sunt jurnalist la Recorder. 
Om de afaceri cu legături politice 
Aș vrea să vă pun câteva întrebări... 
...legate de contractele firmei dumneavoastră cu statul român.",Anger
47,Simple,Real,Yes,No,No,"""Securist încercând să-nțeleagă nota informativă a lui Nicușor Dan""",Surprise
32,Simple,Real,No,No,No,"Sunt pe dieta! 
Mănânc doar morcovi",Surprise
267,Simple,Fake,Yes,No,No,Camera Deputaților a aprobat tacit autonomia Ținutului Secuiesc Legea pică în Senat Și oricum e neconstituțională Români mândri,Joy
327,Simple,Fake,Yes,No,No,"Si, uitati, atat va face PSD-ul coada vulpii!",Surprise
200,Combination,Real,No,No,No,Vreau să demonstrez bărbaților că și femeile știu să parcheze! - GATA!,Sadness
414,Simple,Fake,No,No,No,Mă pun la somn să mă odihnesc si visez că lucrez,Fear
27,Simple,Real,No,Yes,No,"BAC 
TU",Fear
361,Simple,Real,Yes,No,No,Facem weekendul de 5 zile,Surprise
230,Simple,Real,No,No,No,"Ce-ar fi dacă, de mâine, am încerca să mâncăm sănătos? Ai înebunit?!? Acum, când avem nevoie de toți conservanții...",Surprise
260,Simple,Fake,Yes,Yes,No,CÂND TE ÎNTREABĂ PRESA DE PNL,Fear
288,Simple,Fake,No,No,No,Antrenorii de fitness în luna ianuarie 2020 be like:,Joy
