,Complexity,Real_Fake,Political,TextUppercase,TextLowercase,text,label
85,Simple,Real,Yes,Yes,No,"VII ASTĂ-SEARĂ PE LA MINE? 
AM APĂ CALDĂ.",Negative
242,Simple,Real,Yes,Yes,No,JE SUIS BĂIATU DE LA USR CU CASCADA MINIMALISTĂ.,Neutral
186,Simple,Real,No,No,No,Când realizezi că nu ai slăbit nici anul ăsta!,Negative
159,Simple,Real,No,Yes,No,CND MERGI CU RATB ȘI TE PRINDE CONTROLORUL FĂRĂ BILET,Negative
12,Simple,Fake,Yes,No,No,"UBB: -Ai plagiat 
Politician român",Negative
35,Simple,Real,No,Yes,No,FRATE?,Neutral
28,Combination,Real,No,No,No,Rasismul explcat idioților,Negative
170,Combination,Fake,No,Yes,No,CAND TE PUNE CINEVA LA TREABA,Negative
142,Simple,Fake,No,No,No,Studenții de peste hotare în primul lor an de cămin:,Negative
369,Combination,Real,No,No,No,Zi de nastere in anii 2000:,Positive
407,Simple,Real,No,No,No,"Tu mi faci inima sã bată
Cum nu o face nicio fată",Neutral
221,Simple,Real,Yes,No,No,Putina lume stie ca buzunarul cel mic de la blugi este pentru salariu,Negative
95,Simple,Real,No,No,No,"Eu și prietena mea în cămin la 12 noaptea, ne certăm cu paznicul @studentnews.info",Negative
51,Simple,Fake,No,No,No,"Vanzatoarea : 
- Sunt 62 de lei. 
-Am 100. 
-Da-mi 12 sa-ti dau 50, sau 2 sa-ti dau 40. 
Eu :",Negative
240,Combination,Fake,No,No,No,"Cum e, ma, sa fi insurat? Super tare! masimt de parca as avea iarasi 16 ani! Adica? Fumez in toaleta, beau pe ascuns..",Negative
356,Simple,Real,Yes,No,No,"Succes, Joe Biden!",Negative
378,Combination,Real,Yes,No,No,"Profesorii: *fac grevă, iar orele nu se tin*
Elevii care nu sunt an terminal:",Negative
178,Simple,Real,No,Yes,No,SI VREI SA SPUI CA ROMANIA A TERMINAT PE PRIMUL LOC IN PRELIMINARII?,Negative
41,Simple,DeepFake,Yes,Yes,No,SELLY LA SUMMIT-UL NATO,Neutral
392,Simple,Real,No,No,No,Sună mã si te rezolv...,Positive
206,Combination,Real,No,No,No,"Învârtitoarea când aveam 6 ani  Învârtitoarea acum, atză-o-ar focu",Negative
282,Simple,Real,Yes,No,No,"Cand esti IT-ist, votezi pnl si iti dai seama ca o sa iti puna impozit pe venit",Negative
254,Combination,Fake,Yes,Yes,No,"NU ȘTIE NICI MĂCAR SĂ CALCULEZE DEBITUL UNUI RÂU! BOSS, SUNTEM AICI SĂ FURĂM, NU SĂ CALCULĂM!",Negative
383,Simple,Fake,No,No,No,"Cluj
120k ron",Negative
4,Simple,Real,No,No,No,"Dorel electricianul : *Face o improvizație la sistemul electric* 
Eu, pe patul de ATI :",Negative
256,Simple,Fake,Yes,No,No,"Spune-mi lucruri murdare! București, Sector 1",Neutral
416,Simple,Real,No,No,Yes,"""de ce nu vrei sa intrii la o cafea?""
sosetele mele:",Neutral
100,Simple,Real,No,Yes,No,"SPUNE, UNDE ESTE PARTENERUL TĂU ?",Neutral
226,Combination,Real,Yes,No,No,In Canada folosesc abtibilduri pentru a reduce viteza masinilor. In Romnia folosec versiunea in 3D!,Negative
396,Simple,Real,No,No,No,"Hey, scuze, cred ca m-ai lăsat cu seen din greseala",Neutral
213,Simple,Real,No,No,No,Pe mine mă cheamă George Pe mine nu,Negative
171,Simple,Real,No,Yes,No,FANII ROMANIEI ASTEPTAND UN GOL CU LIECHTENSTEIN,Negative
98,Simple,Real,No,Yes,No,"CE DACĂ FATA PE CARE O PLACI ARE IUBIT? 
ȘI FOTBALUL ARE PORTAR ȘI TOT DAI GOL...",Neutral
292,Simple,Fake,Yes,No,No,"Toată lumea: PSD-ule, scapa de baroni,Tutankhamoni, reformează-te!! PSD: NO #memepolitice",Positive
215,Combination,Real,No,Yes,No,M-AM SATURAT DE VIATA ASTA... MAI BINE MA DUC SA-MI IAU BERE,Negative
61,Combination,Real,Yes,No,No,"Bună ziua! Mă numesc Alex Nedea și sunt jurnalist la Recorder. 
Om de afaceri cu legături politice 
Aș vrea să vă pun câteva întrebări... 
...legate de contractele firmei dumneavoastră cu statul român.",Negative
47,Simple,Real,Yes,No,No,"""Securist încercând să-nțeleagă nota informativă a lui Nicușor Dan""",Neutral
32,Simple,Real,No,No,No,"Sunt pe dieta! 
Mănânc doar morcovi",Negative
267,Simple,Fake,Yes,No,No,Camera Deputaților a aprobat tacit autonomia Ținutului Secuiesc Legea pică în Senat Și oricum e neconstituțională Români mândri,Positive
327,Simple,Fake,Yes,No,No,"Si, uitati, atat va face PSD-ul coada vulpii!",Neutral
200,Combination,Real,No,No,No,Vreau să demonstrez bărbaților că și femeile știu să parcheze! - GATA!,Negative
414,Simple,Fake,No,No,No,Mă pun la somn să mă odihnesc si visez că lucrez,Neutral
27,Simple,Real,No,Yes,No,"BAC 
TU",Negative
361,Simple,Real,Yes,No,No,Facem weekendul de 5 zile,Neutral
230,Simple,Real,No,No,No,"Ce-ar fi dacă, de mâine, am încerca să mâncăm sănătos? Ai înebunit?!? Acum, când avem nevoie de toți conservanții...",Positive
260,Simple,Fake,Yes,Yes,No,CÂND TE ÎNTREABĂ PRESA DE PNL,Negative
288,Simple,Fake,No,No,No,Antrenorii de fitness în luna ianuarie 2020 be like:,Positive
162,Simple,Fake,No,No,No,"Mihai Viteazul, pe punctul de a-l infrunta pe Sinan Pasa, cca. 1595",Neutral
